ID,Mass,MassUpper,MassLower,Width,WidthUpper,WidthLower,I,G,P,C,Anti,Charge,Rank,Status,Name,Quarks,Latex
1,4.8,1.2,1.2,-1,-1,1,1/2,5,1,5,1,-1,0,0,d,d,d
-1,4.8,1.2,1.2,-1,-1,1,1/2,5,1,5,1,1,0,0,d,D,\bar{d}
2,2.4,0.9,0.9,-1,-1,1,1/2,5,1,5,1,2,0,0,u,u,u
-2,2.4,0.9,0.9,-1,-1,1,1/2,5,1,5,1,-2,0,0,u,U,\bar{u}
3,104,26,34,-1,-1,1,0,5,1,5,1,-1,0,0,s,s,s
-3,104,26,34,-1,-1,1,0,5,1,5,1,1,0,0,s,S,\bar{s}
4,1270,70,110,-1,-1,1,0,5,1,5,1,2,0,0,c,c,c
-4,1270,70,110,-1,-1,1,0,5,1,5,1,-2,0,0,c,C,\bar{c}
5,4680,170,70,-1,-1,1,0,5,1,5,1,-1,0,0,b,b,b
-5,4680,170,70,-1,-1,1,0,5,1,5,1,1,0,0,b,B,\bar{b}
6,171200,2100,2100,-1,-1,1,0,5,1,5,1,2,0,0,t,t,t
-6,171200,2100,2100,-1,-1,1,0,5,1,5,1,-2,0,0,t,T,\bar{t}
11,0.51099891,1.3e-08,1.3e-08,0,0,0,,5,5,5,2,-3,0,0,e,,e^{-}
-11,0.51099891,1.3e-08,1.3e-08,0,0,0,,5,5,5,2,3,0,0,e,,e^{+}
13,105.658367,4e-06,4e-06,3.015937e-16,2.9e-21,2.9e-21,,5,5,5,2,-3,0,0,mu,,\mu^{-}
-13,105.658367,4e-06,4e-06,3.015937e-16,2.9e-21,2.9e-21,,5,5,5,2,3,0,0,mu,,\mu^{+}
15,1776.84,0.17,0.17,2.28e-09,8e-12,8e-12,,5,5,5,2,-3,0,0,tau,,\tau^{-}
-15,1776.84,0.17,0.17,2.28e-09,8e-12,8e-12,,5,5,5,2,3,0,0,tau,,\tau^{+}
22,0,0,0,0,0,0,<2,5,-1,-1,0,0,0,0,gamma,,\gamma
23,91187.6,2.1,2.1,2495.2,2.3,2.3,,5,5,5,0,0,0,0,Z,,Z^{0}
24,80398,25,25,2140,40,40,,5,5,5,2,3,0,0,W,,W^{+}
-24,80398,25,25,2140,40,40,,5,5,5,2,-3,0,0,W,,W^{-}
111,134.9766,0.0006,0.0006,7.9e-06,6e-07,6e-07,1,-1,-1,1,0,0,0,0,pi,(uU-dD)/sqrt(2),\pi^{0}
113,775.49,0.34,0.34,149.4,1,1,1,1,-1,-1,2,0,0,0,rho(770),(uU-dD)/sqrt(2),\rho(770)^{0}
115,1318.3,0.6,0.6,107,5,5,1,-1,1,1,2,0,0,0,a(2)(1320),(uU-dD)/sqrt(2),a_{2}(1320)^{0}
117,1688.8,2.1,2.1,161,10,10,1,1,-1,-1,2,0,0,0,rho(3)(1690),(uU-dD)/sqrt(2),\rho_{3}(1690)^{0}
119,2001,10,10,313,31,31,1,-1,1,1,2,0,0,0,a(4)(2040),(uU-dD)/sqrt(2),a_{4}(2040)^{0}
130,497.614,0.024,0.024,1.295e-14,5e-17,5e-17,1/2,5,-1,5,0,0,0,0,K0L,p(dS)-q(Ds),K_{L}^{0}
211,139.57018,0.00035,0.00035,2.5452e-14,5e-18,5e-18,1,-1,-1,5,2,3,0,0,pi,uD,\pi^{+}
-211,139.57018,0.00035,0.00035,2.5452e-14,5e-18,5e-18,1,-1,-1,5,2,-3,0,0,pi,Ud,\pi^{-}
213,775.49,0.34,0.34,149.4,1,1,1,1,-1,5,2,3,0,0,rho(770),uD,\rho(770)^{+}
-213,775.49,0.34,0.34,149.4,1,1,1,1,-1,5,2,-3,0,0,rho(770),Ud,\rho(770)^{-}
215,1318.3,0.6,0.6,107,5,5,1,-1,1,5,2,3,0,0,a(2)(1320),uD,a_{2}(1320)^{+}
-215,1318.3,0.6,0.6,107,5,5,1,-1,1,5,2,-3,0,0,a(2)(1320),Ud,a_{2}(1320)^{-}
217,1688.8,2.1,2.1,161,10,10,1,1,-1,5,2,3,0,0,rho(3)(1690),uD,\rho_{3}(1690)^{+}
-217,1688.8,2.1,2.1,161,10,10,1,1,-1,5,2,-3,0,0,rho(3)(1690),Ud,\rho_{3}(1690)^{-}
219,2001,10,10,313,31,31,1,-1,1,5,2,3,0,0,a(4)(2040),uD,a_{4}(2040)^{+}
-219,2001,10,10,313,31,31,1,-1,1,5,2,-3,0,0,a(4)(2040),Ud,a_{4}(2040)^{-}
221,547.853,0.024,0.024,0.0013,7e-05,7e-05,0,1,-1,1,0,0,0,0,eta,x(uU+dD)+y(sS),\eta
223,782.65,0.12,0.12,8.49,0.08,0.08,0,-1,-1,-1,0,0,0,0,omega(782),x(uU+dD)+y(sS),\omega(782)
225,1275.1,1.2,1.2,185,2.9,2.4,0,1,1,1,0,0,0,0,f(2)(1270),x(uU+dD)+y(sS),f_{2}(1270)
227,1667,4,4,168,10,10,0,-1,-1,-1,0,0,0,0,omega(3)(1670),x(uU+dD)+y(sS),\omega_{3}(1670)
229,2018,11,11,237,18,18,0,1,1,1,0,0,0,0,f(4)(2050),x(uU+dD)+y(sS),f_{4}(2050)
310,497.614,0.024,0.024,7.397e-12,4e-15,4e-15,1/2,5,-1,5,0,0,0,0,K0S,p(dS)+q(Ds),K_{S}^{0}
311,497.614,0.024,0.024,-1,-1,1,1/2,5,-1,5,1,0,0,0,K,dS,K^{0}
-311,497.614,0.024,0.024,-1,-1,1,1/2,5,-1,5,1,0,0,0,K,Ds,\bar{K}^{0}
