# (c) Scikit-HEP project - Particle package data file - particle2019.csv - version 4 - 2020-01-07
ID,Mass,MassUpper,MassLower,Width,WidthUpper,WidthLower,I,G,P,C,Anti,Charge,Rank,Status,Name,Quarks,Latex
1,4.67,0.5,0.2,-1,-1,-1,1/2,5,1,5,1,-1,0,0,d,d,d
-1,4.67,0.5,0.2,-1,-1,-1,1/2,5,1,5,1,1,0,0,d,D,\bar{d}
2,2.16,0.5,0.3,-1,-1,-1,1/2,5,1,5,1,2,0,0,u,u,u
-2,2.16,0.5,0.3,-1,-1,-1,1/2,5,1,5,1,-2,0,0,u,U,\bar{u}
3,93,11,5,-1,-1,-1,0,5,1,5,1,-1,0,0,s,s,s
-3,93,11,5,-1,-1,-1,0,5,1,5,1,1,0,0,s,S,\bar{s}
4,1270,20,20,-1,-1,-1,0,5,1,5,1,2,0,0,c,c,c
-4,1270,20,20,-1,-1,-1,0,5,1,5,1,-2,0,0,c,C,\bar{c}
5,4180,30,20,-1,-1,-1,0,5,1,5,1,-1,0,0,b,b,b
-5,4180,30,20,-1,-1,-1,0,5,1,5,1,1,0,0,b,B,\bar{b}
6,173100,900,900,1420,190,150,0,5,1,5,1,2,0,0,t,t,t
-6,173100,900,900,1420,190,150,0,5,1,5,1,-2,0,0,t,T,\bar{t}
11,0.5109989461,3.1e-09,3.1e-09,0,0,0,,5,5,5,2,-3,0,0,e,,e^{-}
-11,0.5109989461,3.1e-09,3.1e-09,0,0,0,,5,5,5,2,3,0,0,e,,e^{+}
12,0,0,0,0,0,0,,5,5,5,1,0,0,1,nu(e),,\nu_{e}
-12,0,0,0,0,0,0,,5,5,5,1,0,0,1,nu(e),,\bar{\nu}_{e}
13,105.6583745,2.4e-06,2.4e-06,2.9959847e-16,3e-22,3e-22,,5,5,5,2,-3,0,0,mu,,\mu^{-}
-13,105.6583745,2.4e-06,2.4e-06,2.9959847e-16,3e-22,3e-22,,5,5,5,2,3,0,0,mu,,\mu^{+}
14,0,0,0,0,0,0,,5,5,5,1,0,0,1,nu(mu),,\nu_{\mu}
-14,0,0,0,0,0,0,,5,5,5,1,0,0,1,nu(mu),,\bar{\nu}_{\mu}
15,1776.86,0.12,0.12,2.267e-09,4e-12,4e-12,,5,5,5,2,-3,0,0,tau,,\tau^{-}
-15,1776.86,0.12,0.12,2.267e-09,4e-12,4e-12,,5,5,5,2,3,0,0,tau,,\tau^{+}
16,0,0,0,0,0,0,,5,5,5,1,0,0,1,nu(tau),,\nu_{\tau}
-16,0,0,0,0,0,0,,5,5,5,1,0,0,1,nu(tau),,\bar{\nu}_{\tau}
21,0,0,0,0,0,0,,5,-1,5,0,0,0,0,g,,g
22,0,0,0,0,0,0,,5,-1,-1,0,0,0,0,gamma,,\gamma
23,91187.6,2.1,2.1,2495.2,2.3,2.3,,5,5,5,0,0,0,0,Z,,Z^{0}
24,80379,12,12,2085,42,42,,5,5,5,2,3,0,0,W,,W^{+}
-24,80379,12,12,2085,42,42,,5,5,5,2,-3,0,0,W,,W^{-}
25,125100,140,140,-1,-1,-1,,5,5,5,0,0,0,0,H,,H^{0}
111,134.977,0.0005,0.0005,7.73e-06,1.7e-07,1.7e-07,1,-1,-1,1,0,0,0,0,pi,(uU-dD)/sqrt(2),\pi^{0}
113,775.26,0.25,0.25,149.1,0.8,0.8,1,1,-1,-1,0,0,0,0,rho(770),(uU-dD)/sqrt(2),\rho(770)^{0}
115,1316.9,0.9,0.9,107,5,5,1,-1,1,1,0,0,0,0,a(2)(1320),(uU-dD)/sqrt(2),a_{2}(1320)^{0}
117,1688.8,2.1,2.1,161,10,10,1,1,-1,-1,0,0,0,0,rho(3)(1690),(uU-dD)/sqrt(2),\rho_{3}(1690)^{0}
119,1967,16,16,324,15,18,1,-1,1,1,0,0,0,0,a(4)(1970),(uU-dD)/sqrt(2),a_{4}(1970)^{0}
130,497.611,0.013,0.013,1.287e-14,5e-17,5e-17,1/2,5,-1,5,0,0,0,0,K(L),p(dS)-q(Ds),K_{L}^{0}
211,139.57061,0.00024,0.00024,2.5284e-14,5e-18,5e-18,1,-1,-1,5,2,3,0,0,pi,uD,\pi^{+}
-211,139.57061,0.00024,0.00024,2.5284e-14,5e-18,5e-18,1,-1,-1,5,2,-3,0,0,pi,Ud,\pi^{-}
213,775.26,0.25,0.25,149.1,0.8,0.8,1,1,-1,5,2,3,0,0,rho(770),uD,\rho(770)^{+}
-213,775.26,0.25,0.25,149.1,0.8,0.8,1,1,-1,5,2,-3,0,0,rho(770),Ud,\rho(770)^{-}
215,1316.9,0.9,0.9,107,5,5,1,-1,1,5,2,3,0,0,a(2)(1320),uD,a_{2}(1320)^{+}
-215,1316.9,0.9,0.9,107,5,5,1,-1,1,5,2,-3,0,0,a(2)(1320),Ud,a_{2}(1320)^{-}
217,1688.8,2.1,2.1,161,10,10,1,1,-1,5,2,3,0,0,rho(3)(1690),uD,\rho_{3}(1690)^{+}
-217,1688.8,2.1,2.1,161,10,10,1,1,-1,5,2,-3,0,0,rho(3)(1690),Ud,\rho_{3}(1690)^{-}
219,1967,16,16,324,15,18,1,-1,1,5,2,3,0,0,a(4)(1970),uD,a_{4}(1970)^{+}
-219,1967,16,16,324,15,18,1,-1,1,5,2,-3,0,0,a(4)(1970),Ud,a_{4}(1970)^{-}
221,547.862,0.017,0.017,0.00131,5e-05,5e-05,0,1,-1,1,0,0,0,0,eta,x(uU+dD)+y(sS),\eta
223,782.65,0.12,0.12,8.49,0.08,0.08,0,-1,-1,-1,0,0,0,0,omega(782),x(uU+dD)+y(sS),\omega(782)
225,1275.5,0.8,0.8,186.7,2.2,2.5,0,1,1,1,0,0,0,0,f(2)(1270),x(uU+dD)+y(sS),f_{2}(1270)
227,1667,4,4,168,10,10,0,-1,-1,-1,0,0,0,0,omega(3)(1670),x(uU+dD)+y(sS),\omega_{3}(1670)
229,2018,11,11,237,18,18,0,1,1,1,0,0,0,0,f(4)(2050),x(uU+dD)+y(sS),f_{4}(2050)
310,497.611,0.013,0.013,7.3508e-12,2.9e-15,2.9e-15,1/2,5,-1,5,0,0,0,0,K(S),p(dS)+q(Ds),K_{S}^{0}
311,497.611,0.013,0.013,-1,-1,-1,1/2,5,-1,5,1,0,0,0,K,dS,K^{0}
-311,497.611,0.013,0.013,-1,-1,-1,1/2,5,-1,5,1,0,0,0,K,Ds,\bar{K}^{0}
313,895.55,0.2,0.2,47.3,0.5,0.5,1/2,5,-1,5,1,0,0,0,K*(892),dS,K^{*}(892)^{0}
-313,895.55,0.2,0.2,47.3,0.5,0.5,1/2,5,-1,5,1,0,0,0,K*(892),Ds,\bar{K}^{*}(892)^{0}
315,1432.4,1.3,1.3,109,5,5,1/2,5,1,5,1,0,0,0,K(2)*(1430),dS,K_{2}^{*}(1430)^{0}
-315,1432.4,1.3,1.3,109,5,5,1/2,5,1,5,1,0,0,0,K(2)*(1430),Ds,\bar{K}_{2}^{*}(1430)^{0}
317,1776,7,7,159,21,21,1/2,5,-1,5,1,0,0,0,K(3)*(1780),dS,K_{3}^{*}(1780)^{0}
-317,1776,7,7,159,21,21,1/2,5,-1,5,1,0,0,0,K(3)*(1780),Ds,\bar{K}_{3}^{*}(1780)^{0}
319,2045,9,9,198,30,30,1/2,5,1,5,1,0,0,0,K(4)*(2045),dS,K_{4}^{*}(2045)^{0}
-319,2045,9,9,198,30,30,1/2,5,1,5,1,0,0,0,K(4)*(2045),Ds,\bar{K}_{4}^{*}(2045)^{0}
321,493.677,0.016,0.016,5.317e-14,9e-17,9e-17,1/2,5,-1,5,2,3,0,0,K,uS,K^{+}
-321,493.677,0.016,0.016,5.317e-14,9e-17,9e-17,1/2,5,-1,5,2,-3,0,0,K,Us,K^{-}
323,891.66,0.26,0.26,50.3,0.8,0.8,1/2,5,-1,5,2,3,0,0,K*(892),uS,K^{*}(892)^{+}
-323,891.66,0.26,0.26,50.3,0.8,0.8,1/2,5,-1,5,2,-3,0,0,K*(892),Us,K^{*}(892)^{-}
325,1425.6,1.5,1.5,98.5,2.7,2.7,1/2,5,1,5,2,3,0,0,K(2)*(1430),uS,K_{2}^{*}(1430)^{+}
-325,1425.6,1.5,1.5,98.5,2.7,2.7,1/2,5,1,5,2,-3,0,0,K(2)*(1430),Us,K_{2}^{*}(1430)^{-}
327,1776,7,7,159,21,21,1/2,5,-1,5,2,3,0,0,K(3)*(1780),uS,K_{3}^{*}(1780)^{+}
-327,1776,7,7,159,21,21,1/2,5,-1,5,2,-3,0,0,K(3)*(1780),Us,K_{3}^{*}(1780)^{-}
329,2045,9,9,198,30,30,1/2,5,1,5,2,3,0,0,K(4)*(2045),uS,K_{4}^{*}(2045)^{+}
-329,2045,9,9,198,30,30,1/2,5,1,5,2,-3,0,0,K(4)*(2045),Us,K_{4}^{*}(2045)^{-}
331,957.78,0.06,0.06,0.196,0.009,0.009,0,1,-1,1,0,0,0,0,eta'(958),x(uU+dD)+y(sS),\eta^\prime(958)
333,1019.461,0.016,0.016,4.249,0.013,0.013,0,-1,-1,-1,0,0,0,0,phi(1020),x(uU+dD)+y(sS),\phi(1020)
335,1525,5,5,73,6,5,0,1,1,1,0,0,0,0,f(2)'(1525),x(uU+dD)+y(sS),f_{2}^\prime(1525)
337,1854,7,7,87,28,23,0,-1,-1,-1,0,0,0,0,phi(3)(1850),x(uU+dD)+y(sS),\phi_{3}(1850)
411,1869.65,0.05,0.05,6.33e-10,4e-12,4e-12,1/2,5,-1,5,2,3,0,0,D,cD,D^{+}
-411,1869.65,0.05,0.05,6.33e-10,4e-12,4e-12,1/2,5,-1,5,2,-3,0,0,D,Cd,D^{-}
413,2010.26,0.05,0.05,0.0834,0.0018,0.0018,1/2,5,-1,5,2,3,0,0,D*(2010),cD,D^{*}(2010)^{+}
-413,2010.26,0.05,0.05,0.0834,0.0018,0.0018,1/2,5,-1,5,2,-3,0,0,D*(2010),Cd,D^{*}(2010)^{-}
415,2465.4,1.3,1.3,46.7,1.2,1.2,1/2,5,1,5,2,3,0,0,D(2)*(2460),cD,D_{2}^{*}(2460)^{+}
-415,2465.4,1.3,1.3,46.7,1.2,1.2,1/2,5,1,5,2,-3,0,0,D(2)*(2460),Cd,D_{2}^{*}(2460)^{-}
421,1864.83,0.05,0.05,1.605e-09,6e-12,6e-12,1/2,5,-1,5,1,0,0,0,D,cU,D^{0}
-421,1864.83,0.05,0.05,1.605e-09,6e-12,6e-12,1/2,5,-1,5,1,0,0,0,D,Cu,\bar{D}^{0}
423,2006.85,0.05,0.05,2.1,-1,-1,1/2,5,-1,5,1,0,0,0,D*(2007),cU,D^{*}(2007)^{0}
-423,2006.85,0.05,0.05,2.1,-1,-1,1/2,5,-1,5,1,0,0,0,D*(2007),Cu,\bar{D}^{*}(2007)^{0}
425,2460.7,0.4,0.4,47.5,1.1,1.1,1/2,5,1,5,1,0,0,0,D(2)*(2460),cU,D_{2}^{*}(2460)^{0}
-425,2460.7,0.4,0.4,47.5,1.1,1.1,1/2,5,1,5,1,0,0,0,D(2)*(2460),Cu,\bar{D}_{2}^{*}(2460)^{0}
431,1968.34,0.07,0.07,1.305e-09,1e-11,1e-11,0,5,-1,5,2,3,0,0,D(s),cS,D_{s}^{+}
-431,1968.34,0.07,0.07,1.305e-09,1e-11,1e-11,0,5,-1,5,2,-3,0,0,D(s),Cs,D_{s}^{-}
433,2112.2,0.4,0.4,-1,-1,-1,0,5,5,5,2,3,0,0,D(s)*,cS,D_{s}^{*+}
-433,2112.2,0.4,0.4,-1,-1,-1,0,5,5,5,2,-3,0,0,D(s)*,Cs,D_{s}^{*-}
435,2569.1,0.8,0.8,16.9,0.7,0.7,0,5,5,5,2,3,0,0,D(s2)*(2573),cS,D_{s2}^{*}(2573)^{+}
-435,2569.1,0.8,0.8,16.9,0.7,0.7,0,5,5,5,2,-3,0,0,D(s2)*(2573),Cs,D_{s2}^{*}(2573)^{-}
441,2983.9,0.5,0.5,31.9,0.7,0.7,0,1,-1,1,0,0,0,0,eta(c)(1S),cC,\eta_{c}(1S)
443,3096.9,0.006,0.006,0.0929,0.0028,0.0028,0,-1,-1,-1,0,0,0,0,J/psi(1S),cC,J/\psi(1S)
445,3556.17,0.07,0.07,1.97,0.09,0.09,0,1,1,1,0,0,0,0,chi(c2)(1P),cC,\chi_{c2}(1P)
