PDGID,STR
22,gamma
24,W+
-24,W-
23,Z0
-11,e+
11,e-
12,nu_e
-12,anti-nu_e
-13,mu+
13,mu-
14,nu_mu
-14,anti-nu_mu
-15,tau+
15,tau-
111,pi0
211,pi+
-211,pi-
221,eta
113,rho0
213,rho+
-213,rho-
223,omega
331,eta'
9000221,sigma_0
9010221,f_0
9000111,a_00
9000211,a_0+
-9000211,a_0-
333,phi
10223,h_1
10113,b_10
10213,b_1+
-10213,b_1-
20113,a_10
20213,a_1+
-20213,a_1-
225,f_2
20223,f_1
100221,eta(2S)
100111,pi(2S)0
100211,pi(2S)+
-100211,pi(2S)-
115,a_20
215,a_2+
-215,a_2-
10221,f'_0
10333,h'_1
9000113,pi_1(1400)0
9000213,pi_1(1400)+
-9000213,pi_1(1400)-
9020221,eta(1405)0
20333,f'_1
100113,rho(2S)0
100213,rho(2S)+
-100213,rho(2S)-
10111,a_0(1450)0
10211,a_0(1450)+
-10211,a_0(1450)-
100331,eta(1475)
9030221,f_0(1500)
335,f'_2
9010113,pi_1(1600)0
9010213,pi_1(1600)+
-9010213,pi_1(1600)-
10225,eta_2(1645)
30223,omega(1650)
10115,pi_2(1670)0
10215,pi_2(1670)+
-10215,pi_2(1670)-
227,omega_3(1670)
100333,phi(1680)
117,rho_3(1690)0
217,rho_3(1690)+
-217,rho_3(1690)-
30113,rho(3S)0
30213,rho(3S)+
-30213,rho(3S)-
10331,f_0(1710)
9010111,pi(1800)0
9010211,pi(1800)+
-9010211,pi(1800)-
337,phi_3(1850)
9050225,f_2(1950)
9060225,f_2(2010)
119,a_4(2040)0
219,a_4(2040)+
-219,a_4(2040)-
229,f_4(2050)
9080225,f_2(2300)
9090225,f_2(2340)
311,K0
-311,anti-K0
310,K_S0
130,K_L0
321,K+
-321,K-
313,K*0
-313,anti-K*0
323,K*+
-323,K*-
10313,K_10
-10313,anti-K_10
10323,K_1+
-10323,K_1-
20313,K'_10
-20313,anti-K'_10
20323,K'_1+
-20323,K'_1-
100313,K'*0
-100313,anti-K'*0
100323,K'*+
-100323,K'*-
10311,K_0*0
-10311,anti-K_0*0
10321,K_0*+
-10321,K_0*-
315,K_2*0
-315,anti-K_2*0
325,K_2*+
-325,K_2*-
30313,K''*0
-30313,anti-K''*0
30323,K''*+
-30323,K''*-
10315,K_2(1770)0
-10315,anti-K_2(1770)0
10325,K_2(1770)+
-10325,K_2(1770)-
317,K_3*0
-317,anti-K_3*0
327,K_3*+
-327,K_3*-
20315,K_2(1820)0
-20315,anti-K_2(1820)0
20325,K_2(1820)+
-20325,K_2(1820)-
319,K_4*0
-319,anti-K_4*0
329,K_4*+
-329,K_4*-
421,D0
-421,anti-D0
411,D+
-411,D-
423,D*0
-423,anti-D*0
413,D*+
-413,D*-
10411,D_0*+
-10411,D_0*-
10421,D_0*0
-10421,anti-D_0*0
10423,D_10
-10423,anti-D_10
425,D_2*0
-425,anti-D_2*0
415,D_2*+
-415,D_2*-
431,D_s+
-431,D_s-
433,D_s*+
-433,D_s*-
10431,D_s0*+
-10431,D_s0*-
20433,D_s1+
-20433,D_s1-
10433,D'_s1+
-10433,D'_s1-
435,D_s2*+
-435,D_s2*-
511,B0
-511,anti-B0
521,B+
-521,B-
513,B*0
-513,anti-B*0
-523,B*-
523,B*+
515,B_2*0
-515,anti-B_2*0
525,B_2*+
-525,B_2*-
531,B_s0
-531,anti-B_s0
533,B_s*0
-533,anti-B_s*0
535,B_s2*0
-535,anti-B_s2*0
541,B_c+
-541,B_c-
441,eta_c
443,J/psi
10441,chi_c0
20443,chi_c1
10443,h_c
445,chi_c2
100441,eta_c(2S)
100443,psi(2S)
30443,psi(3770)
100445,chi_c2(2P)
9000443,psi(4040)
9010443,psi(4160)
9020443,psi(4415)
553,Upsilon
100553,Upsilon(2S)
200553,Upsilon(3S)
30553,Upsilon_1(1D)
300553,Upsilon(4S)
9000553,Upsilon(5S)
9010553,Upsilon(11020)
10551,chi_b0
110551,chi_b0(2P)
20553,chi_b1
120553,chi_b1(2P)
555,chi_b2
100555,chi_b2(2P)
10553,h_b
2112,n0
-2112,anti-n0
2212,p+
-2212,anti-p-
12112,N(1440)0
-12112,anti-N(1440)0
12212,N(1440)+
-12212,anti-N(1440)-
1214,N(1520)0
-1214,anti-N(1520)0
2124,N(1520)+
-2124,anti-N(1520)-
22112,N(1535)0
-22112,anti-N(1535)0
22212,N(1535)+
-22212,anti-N(1535)-
