PDGID,GEANTID
22,1
24,53
-24,54
23,55
-11,2
11,3
12,4
-12,302
-13,5
13,6
14,300
-14,301
-15,51
15,52
111,7
211,8
-211,9
221,17
113,33
213,34
-213,35
223,36
331,127
9000221,850
9010221,596
9000111,132
9000211,133
-9000211,134
333,37
10223,597
10113,588
10213,592
-10213,593
20113,135
20213,42
-20213,43
225,367
20223,687
100221,811
100111,805
100211,807
-100211,808
115,136
215,137
-215,138
10221,686
10333,604
9000113,1021
9000213,1023
-9000213,1024
9020221,1025
100223,812
20333,692
100113,806
100213,809
-100213,810
10111,587
10211,590
-10211,591
100331,826
9030221,855
335,380
9010113,1027
9010213,1029
-9010213,1030
10225,598
30223,746
10115,589
10215,594
-10215,595
227,368
100333,827
117,361
217,363
-217,364
30113,743
30213,744
-30213,745
10331,603
9010111,840
9010211,841
-9010211,842
337,381
10335,605
9050225,813
9060225,828
119,362
219,365
-219,366
229,369
9080225,857
9090225,858
311,370
-311,371
310,16
130,10
321,11
-321,12
313,40
-313,41
323,38
-323,39
10313,141
-10313,142
10323,139
-10323,140
20313,145
-20313,146
20323,143
-20323,144
100313,816
-100313,817
100323,822
-100323,823
10311,149
-10311,150
10321,147
-10321,148
315,153
-315,154
325,151
-325,152
100311,814
-100311,815
100321,820
-100321,821
30313,747
-30313,748
30323,749
-30323,750
10315,599
-10315,600
10325,601
-10325,602
317,372
-317,373
327,376
-327,377
20315,688
-20315,689
20325,690
-20325,691
100315,818
-100315,819
100325,824
-100325,825
319,374
-319,375
329,378
-329,379
421,58
-421,59
411,56
-411,57
423,67
-423,68
413,65
-413,66
10411,155
-10411,159
10421,163
-10421,167
20423,164
-20423,168
20413,156
-20413,160
10423,165
-10423,169
10413,157
-10413,161
425,170
-425,166
415,162
-415,158
100421,761
-100421,762
100411,757
-100411,758
100423,763
-100423,764
100413,759
-100413,760
431,60
-431,61
433,69
-433,70
10431,171
-10431,175
20433,172
-20433,176
10433,173
-10433,177
435,174
-435,178
511,73
-511,74
510,99998
150,99999
521,71
-521,72
513,189
-513,190
-523,187
523,188
10511,201
-10511,205
10521,193
-10521,197
20513,202
-20513,206
20523,194
-20523,198
10513,203
-10513,207
10523,195
-10523,199
515,204
-515,208
525,196
-525,200
531,75
-531,76
530,99996
350,99997
533,191
-533,192
10531,209
-10531,213
20533,210
-20533,214
10533,211
-10533,215
535,212
-535,216
541,77
-541,78
543,382
-543,383
10541,607
-10541,608
10543,609
-10543,610
20543,693
-20543,694
545,384
-545,385
441,128
443,64
10441,129
20443,130
10443,606
445,131
100441,829
100443,126
30443,765
100445,1031
9000443,851
9010443,853
9020443,856
9920443,1016
9910445,1017
9042413,1018
-9042413,1019
551,386
100551,830
200551,843
10555,613
110555,836
553,387
100553,831
200553,844
30553,766
130553,839
20555,696
120555,838
557,389
100557,833
300553,849
9000553,852
9010553,854
10551,611
110551,834
210551,846
220553,848
20553,695
120553,837
555,388
100555,832
200555,845
10553,612
110553,835
210553,847
2112,13
-2112,25
2212,14
-2212,15
12112,624
-12112,625
12212,636
-12212,637
1214,404
-1214,405
2124,420
-2124,421
22112,705
-22112,706
22212,713
-22212,714
32112,771
-32112,772
32212,777
-32212,778
2116,414
-2116,415
2216,428
-2216,429
12116,628
-12116,629
12216,640
-12216,641
22124,711
-22124,712
21214,703
-21214,704
42112,791
-42112,792
42212,795
-42212,796
31214,769
-31214,770
32124,775
-32124,776
41214,789
-41214,790
42124,793
-42124,794
12118,630
-12118,631
12218,642
-12218,643
52114,799
-52114,800
52214,801
-52214,802
1218,408
-1218,409
2128,424
-2128,425
1114,182
-1114,186
2114,181
-2114,185
2214,180
-2214,184
2224,179
-2224,183
31114,767
-31114,768
32114,773
-32114,774
32214,779
-32214,780
32224,781
-32224,782
1112,396
-1112,397
1212,402
-1212,403
2122,418
-2122,419
2222,432
-2222,433
11114,616
-11114,617
12114,626
-12114,627
12214,638
-12214,639
12224,646
-12224,647
11112,614
-11112,615
11212,620
-11212,621
12122,632
-12122,633
12222,644
-12222,645
1116,398
-1116,399
1216,406
-1216,407
2126,422
-2126,423
2226,434
-2226,435
21112,697
-21112,698
21212,701
-21212,702
22122,709
-22122,710
22222,717
-22222,718
21114,699
-21114,700
22114,707
-22114,708
22214,715
-22214,716
22224,719
-22224,720
11116,618
-11116,619
11216,622
-11216,623
12126,634
-12126,635
12226,648
-12226,649
1118,400
-1118,401
2118,416
-2118,417
2218,430
-2218,431
2228,436
-2228,437
3122,18
-3122,26
13122,656
-13122,657
3124,448
-3124,449
23122,725
-23122,726
33122,783
-33122,784
13124,658
-13124,659
43122,797
-43122,798
53122,803
-53122,804
3126,450
-3126,451
13126,660
-13126,661
23124,727
-23124,728
3128,452
-3128,453
23126,729
-23126,730
3112,21
-3112,29
3212,20
-3212,28
3222,19
-3222,27
3114,442
-3114,443
3214,458
-3214,459
3224,464
-3224,465
13112,650
-13112,651
13212,662
-13212,663
13222,668
-13222,669
13114,652
-13114,653
13214,664
-13214,665
13224,670
-13224,671
23112,721
-23112,722
23212,731
-23212,732
23222,735
-23222,736
3116,444
-3116,445
3216,460
-3216,461
3226,466
-3226,467
13116,654
-13116,655
13216,666
-13216,667
13226,672
-13226,673
23114,723
-23114,724
23214,733
-23214,734
23224,737
-23224,738
3218,462
-3218,463
3228,468
-3228,469
3118,446
-3118,447
103212,1059
-103212,1060
103222,1061
-103222,1062
103112,1063
-103112,1064
3312,23
-3312,31
3322,22
-3322,30
3314,472
-3314,473
3324,474
-3324,475
203312,1033
-203312,1034
203322,1035
-203322,1036
13314,674
-13314,675
13324,678
-13324,679
103316,1037
-103316,1038
103326,1039
-103326,1040
203316,1041
-203316,1042
203326,1043
-203326,1044
3334,24
-3334,32
203338,1045
-203338,1046
4122,62
-4122,63
14122,682
-14122,683
104122,1047
-104122,1048
204126,1049
-204126,1050
4112,81
-4112,82
4212,83
-4212,84
4222,85
-4222,86
4114,480
-4114,481
4214,486
-4214,487
4224,488
-4224,489
4132,106
-4132,107
4232,108
-4232,109
4312,100
-4312,101
4322,102
-4322,103
4314,494
-4314,495
4324,496
-4324,497
104324,1051
-104324,1052
104314,1053
-104314,1054
104322,1055
-104322,1056
104312,1057
-104312,1058
4332,104
-4332,105
4334,498
-4334,499
4412,502
-4412,503
4414,504
-4414,505
4422,506
-4422,507
4424,508
-4424,509
4432,510
-4432,511
4434,512
-4434,513
4444,514
-4444,515
5122,79
-5122,80
15122,1065
-15122,1066
5124,1067
-5124,1068
5112,114
-5112,115
5212,112
-5212,113
5222,110
-5222,111
5114,520
-5114,521
5214,528
-5214,529
5224,530
-5224,531
5132,122
-5132,123
5232,124
-5232,125
5312,116
-5312,117
5322,118
-5322,119
5314,538
-5314,539
5324,540
-5324,541
5334,542
-5334,543
5332,120
-5332,121
5142,522
-5142,523
5242,532
-5242,533
5342,544
-5342,545
5412,550
-5412,551
5414,552
-5414,553
5422,554
-5422,555
5424,556
-5424,557
5432,558
-5432,559
5434,560
-5434,561
5442,562
-5442,563
5444,564
-5444,565
5512,568
-5512,569
5514,570
-5514,571
5522,572
-5522,573
5524,574
-5524,575
5532,576
-5532,577
5534,578
-5534,579
5542,580
-5542,581
5544,582
-5544,583
5554,584
-5554,585
1000010020,45
1000010030,46
1000020040,47
480000000,48
20022,50
25,87
35,88
36,89
37,90
-37,91
1,303
-1,304
2,305
-2,306
3,307
-3,308
4,309
-4,310
5,311
-5,312
6,313
-6,314
7,315
-7,316
8,317
-8,318
16,319
-16,320
17,321
-17,322
18,323
-18,324
21,325
32,326
33,327
34,328
-34,329
39,330
41,331
-41,332
42,333
-42,334
43,335
44,336
-44,337
81,338
82,339
-82,340
83,341
84,342
-84,343
85,344
-85,345
86,346
-86,347
87,348
-87,349
88,350
90,351
91,352
92,353
93,354
94,355
95,356
96,357
97,358
98,359
99,360
-1000010020,390
-1000010030,392
-1000020040,393
1103,394
-1103,395
2101,410
-2101,411
2103,412
-2103,413
2203,426
-2203,427
3101,438
-3101,439
3103,440
-3103,441
3201,454
-3201,455
3203,456
-3203,457
3303,470
-3303,471
4101,476
-4101,477
4103,478
-4103,479
4201,482
-4201,483
4203,484
-4203,485
4301,490
-4301,491
4303,492
-4303,493
4403,500
-4403,501
5101,516
-5101,517
5103,518
-5103,519
5201,524
-5201,525
5203,526
-5203,527
5301,534
-5301,535
5303,536
-5303,537
5401,546
-5401,547
5403,548
-5403,549
5503,566
-5503,567
10022,586
30343,751
-30343,752
30353,753
-30353,754
30363,755
-30363,756
1000001,859
-1000001,860
1000002,861
-1000002,862
1000003,863
-1000003,864
1000004,865
-1000004,866
1000005,867
-1000005,868
1000006,869
-1000006,870
1000011,871
-1000011,872
1000012,873
-1000012,874
1000013,875
-1000013,876
1000014,877
-1000014,878
1000015,879
-1000015,880
1000016,881
-1000016,882
1000021,883
1000022,884
1000023,885
1000024,886
-1000024,887
1000025,888
1000035,889
1000037,890
-1000037,891
1000039,892
2000001,893
-2000001,894
2000002,895
-2000002,896
2000003,897
-2000003,898
2000004,899
-2000004,900
2000005,901
-2000005,902
2000006,903
-2000006,904
2000011,905
-2000011,906
2000012,907
-2000012,908
2000013,909
-2000013,910
2000014,911
-2000014,912
2000015,913
-2000015,914
2000016,915
-2000016,916
3000111,917
3000113,918
3000211,919
-3000211,920
3000213,921
-3000213,922
3000221,923
3000223,924
3000331,925
3100021,926
3100111,927
3100113,928
3200111,929
3200113,930
3300113,931
3400113,932
4000001,933
-4000001,934
4000002,935
-4000002,936
4000011,937
-4000011,938
4000012,939
-4000012,940
5000039,941
9900012,942
9900014,943
9900016,944
9900023,945
9900024,946
-9900024,947
9900041,948
-9900041,949
9900042,950
-9900042,951
1000020030,49
-1000020030,391
1000030070,988
1000040080,992
1000040090,959
1000040100,993
1000050100,994
1000050110,974
1000050120,975
1000060120,953
1000060130,976
1000060140,977
1000070140,955
1000070150,982
1000070160,995
1000080160,956
1000080170,996
1000080180,967
1000080190,997
1000090190,960
1000100220,983
1000100230,998
1000110240,999
1000120240,979
1000120250,989
1000120260,980
1000120270,981
1000130270,952
1000130280,972
1000140280,957
1000140290,964
1000140300,968
1000150310,1000
1000170390,1001
1000170400,1002
