pdgid,particle
1,d
2,u
3,s
4,c
5,b
6,t
11,e^{-}
12,\nu_{e}
13,\mu^{-}
14,\nu_{\mu}
15,\tau^{-}
16,\nu_{\tau}
21,g
22,\gamma
23,Z^{0}
24,W^{+}
25,H^{0}
111,\pi^{0}
113,\rho(770)^{0}
115,a_{2}(1320)^{0}
117,\rho_{3}(1690)^{0}
119,a_{4}(2040)^{0}
130,K_{L}^{0}
211,\pi^{+}
213,\rho(770)^{+}
215,a_{2}(1320)^{+}
217,\rho_{3}(1690)^{+}
219,a_{4}(2040)^{+}
221,\eta
223,\omega(782)
225,f_{2}(1270)
227,\omega_{3}(1670)
229,f_{4}(2050)
310,K_{S}^{0}
311,K^{0}
313,K^{*}(892)^{0}
315,K_{2}^{*}(1430)^{0}
317,K_{3}^{*}(1780)^{0}
319,K_{4}^{*}(2045)^{0}
321,K^{+}
323,K^{*}(892)^{+}
325,K_{2}^{*}(1430)^{+}
327,K_{3}^{*}(1780)^{+}
329,K_{4}^{*}(2045)^{+}
331,\eta^\prime(958)
333,\phi(1020)
335,f_{2}^\prime(1525)
337,\phi_{3}(1850)
411,D^{+}
413,D^{*}(2010)^{+}
415,D_{2}^{*}(2460)^{+}
421,D^{0}
423,D^{*}(2007)^{0}
425,D_{2}^{*}(2460)^{0}
431,D_{s}^{+}
433,D_{s}^{*+}
435,D_{s2}^{*+}
441,\eta_{c}(1S)
443,J/\psi(1S)
445,\chi_{c2}(1P)
511,B^{0}
513,B^{*0}
515,B_{2}^{*}(5747)^{0}
521,B^{+}
523,B^{*+}
525,B_{2}^{*}(5747)^{+}
531,B_{s}^{0}
533,B_{s}^{*0}
535,B_{s2}^{*}(5840)^{0}
541,B_{c}^{+}
551,\eta_{b}(1S)
553,\Upsilon(1S)
555,\chi_{b2}(1P)
1112,\Delta(1620)^{-}
1114,\Delta(1232)^{-}
1116,\Delta(1905)^{-}
1118,\Delta(1950)^{-}
1212,\Delta(1620)^{0}
1214,N(1520)^{0}
1216,\Delta(1905)^{0}
1218,N(2190)^{0}
2112,n
2114,\Delta(1232)^{0}
2116,N(1675)^{0}
2118,\Delta(1950)^{0}
2122,\Delta(1620)^{+}
2124,N(1520)^{+}
