PDGID,PYTHIAID
22,22
24,24
-24,-24
23,23
-11,-11
11,11
12,12
-12,-12
-13,-13
13,13
14,14
-14,-14
-15,-15
15,15
111,111
211,211
-211,-211
221,221
113,113
213,213
-213,-213
223,223
331,331
9010221,10221
9000111,10111
9000211,10211
-9000211,-10211
333,333
10223,10223
10113,10113
10213,10213
-10213,-10213
20113,20113
20213,20213
-20213,-20213
225,225
20223,20223
115,115
215,215
-215,-215
10221,10331
10333,10333
20333,20333
335,335
311,311
-311,-311
310,310
130,130
321,321
-321,-321
313,313
-313,-313
323,323
-323,-323
10313,10313
-10313,-10313
10323,10323
-10323,-10323
20313,20313
-20313,-20313
20323,20323
-20323,-20323
10311,10311
-10311,-10311
10321,10321
-10321,-10321
315,315
-315,-315
325,325
-325,-325
421,421
-421,-421
411,411
-411,-411
423,423
-423,-423
413,413
-413,-413
10411,10411
-10411,-10411
10421,10421
-10421,-10421
20423,20423
-20423,-20423
20413,20413
-20413,-20413
10423,10423
-10423,-10423
10413,10413
-10413,-10413
425,425
-425,-425
415,415
-415,-415
431,431
-431,-431
433,433
-433,-433
10431,10431
-10431,-10431
20433,20433
-20433,-20433
10433,10433
-10433,-10433
435,435
-435,-435
511,511
-511,-511
521,521
-521,-521
513,513
-513,-513
-523,-523
523,523
10511,10511
-10511,-10511
10521,10521
-10521,-10521
20513,20513
-20513,-20513
20523,20523
-20523,-20523
10513,10513
-10513,-10513
10523,10523
-10523,-10523
515,515
-515,-515
525,525
-525,-525
531,531
-531,-531
533,533
-533,-533
10531,10531
-10531,-10531
20533,20533
-20533,-20533
10533,10533
-10533,-10533
535,535
-535,-535
541,541
-541,-541
543,543
-543,-543
10541,10541
-10541,-10541
10543,10543
-10543,-10543
20543,20543
-20543,-20543
545,545
-545,-545
441,441
443,443
10441,10441
20443,20443
10443,10443
445,445
100441,100441
100443,100443
30443,30443
9920443,9920443
9910445,9910445
9042413,9042413
-9042413,-9042413
551,551
10555,10555
110555,110555
553,553
100553,100553
200553,200553
30553,30553
130553,130553
20555,20555
120555,120555
557,557
100557,100557
300553,300553
10551,10551
110551,110551
210551,210551
220553,220553
20553,20553
120553,120553
555,555
100555,100555
200555,200555
10553,10553
110553,110553
210553,210553
2112,2112
-2112,-2112
2212,2212
-2212,-2212
1114,1114
-1114,-1114
2114,2114
-2114,-2114
2214,2214
-2214,-2214
2224,2224
-2224,-2224
3122,3122
-3122,-3122
3112,3112
-3112,-3112
3212,3212
-3212,-3212
3222,3222
-3222,-3222
3114,3114
-3114,-3114
3214,3214
-3214,-3214
3224,3224
-3224,-3224
3312,3312
-3312,-3312
3322,3322
-3322,-3322
3314,3314
-3314,-3314
