# (c) Scikit-HEP project - Particle package data file - conversions.csv - version 5 - 2020-03-30
      PDGID,   PYTHIAID,   GEANT3ID,            PDGNAME,            EVTGENNAME,                     LATEXNAME
          1,          1,        303,                  d,                     d,                             d
         -1,         -1,        304,                 d~,                anti-d,                       \bar{d}
          2,          2,        305,                  u,                     u,                             u
         -2,         -2,        306,                 u~,                anti-u,                       \bar{u}
          3,          3,        307,                  s,                     s,                             s
         -3,         -3,        308,                 s~,                anti-s,                       \bar{s}
          4,          4,        309,                  c,                     c,                             c
         -4,         -4,        310,                 c~,                anti-c,                       \bar{c}
          5,          5,        311,                  b,                     b,                             b
         -5,         -5,        312,                 b~,                anti-b,                       \bar{b}
          6,          6,        313,                  t,                     t,                             t
         -6,         -6,        314,                 t~,                anti-t,                       \bar{t}
          7,          7,        315,                 b',                    b',                      b^\prime
         -7,         -7,        316,            anti-b',               anti-b',                \bar{b}^\prime
          8,          8,        317,                 t',                    t',                      t^\prime
         -8,         -8,        318,            anti-t',               anti-t',                \bar{t}^\prime
         11,         11,          3,                 e-,                    e-,                         e^{-}
        -11,        -11,          2,                 e+,                    e+,                         e^{+}
         12,         12,          4,              nu(e),                  nu_e,                       \nu_{e}
        -12,        -12,        302,             nu(e)~,             anti-nu_e,                 \bar{\nu}_{e}
         13,         13,          6,                mu-,                   mu-,                       \mu^{-}
        -13,        -13,          5,                mu+,                   mu+,                       \mu^{+}
         14,         14,        300,             nu(mu),                 nu_mu,                     \nu_{\mu}
        -14,        -14,        301,            nu(mu)~,            anti-nu_mu,               \bar{\nu}_{\mu}
         15,         15,         52,               tau-,                  tau-,                      \tau^{-}
        -15,        -15,         51,               tau+,                  tau+,                      \tau^{+}
         16,         16,        319,            nu(tau),                nu_tau,                    \nu_{\tau}
        -16,        -16,        320,           nu(tau)~,           anti-nu_tau,              \bar{\nu}_{\tau}
         17,         17,        321,              tau'-,                    L-,               \tau^{\prime -}
        -17,        -17,        322,              tau'+,                    L+,               \tau^{\prime +}
         18,         18,        323,           nu(tau'),                  nu_L,             \nu_{\tau^\prime}
        -18,        -18,        324,          nu(tau')~,             anti-nu_L,       \bar{\nu}_{\tau^\prime}
         21,         21,        325,                  g,                     g,                             g
         22,         22,          1,              gamma,                 gamma,                        \gamma
         23,         23,         55,                 Z0,                    Z0,                         Z^{0}
         24,         24,         53,                 W+,                    W+,                         W^{+}
        -24,        -24,         54,                 W-,                    W-,                         W^{-}
         25,         25,         87,                 H0,                Higgs0,                         H^{0}
         32,         32,        326,                Z'0,                   Z'0,                  Z^{\prime 0}
         33,         33,        327,               Z''0,                  Z''0,            Z^{\prime\prime 0}
         34,         34,        328,                W'+,                   W'+,                  W^{\prime +}
        -34,        -34,        329,                W'-,                   W'-,                  W^{\prime -}
         35,         35,         88,              H(2)0,               Higgs'0,                     H_{2}^{0}
         36,         36,         89,              H(3)0,                    A0,                     H_{3}^{0}
         37,         37,         90,                 H+,                Higgs+,                         H^{+}
        -37,        -37,         91,                 H-,                Higgs-,                         H^{-}
         39,         39,        330,           Graviton,               unknown,                             G
         41,         41,        331,                 R0,                    R0,                         R^{0}
        -41,        -41,        332,                R~0,               anti-R0,                   \bar{R}^{0}
         42,         42,        333,              LQ(c),               unknown,                        LQ^{c}
        -42,        -42,        334,             LQ(c)~,               unknown,                  \bar{LQ}^{c}
         43,         43,        335,              X(u)0,                   Xu0,                     X_{u}^{0}
         44,         44,        336,              X(u)+,                   Xu+,                     X_{u}^{+}
        -44,        -44,        337,              X(u)-,                   Xu-,                     X_{u}^{-}
         81,         81,        338,           specflav,              specflav,                      specflav
         82,         82,        339,           rndmflav,              rndmflav,                      rndmflav
        -82,        -82,        340,          rndmflav~,         anti-rndmflav,                \bar{rndmflav}
         83,         83,        341,           phasespa,              phasespa,                      phasespa
         84,         84,        342,           c-hadron,              c-hadron,                      c-hadron
        -84,        -84,        343,          c-hadron~,         anti-c-hadron,                \bar{c}-hadron
         85,         85,        344,           b-hadron,              b-hadron,                      b-hadron
        -85,        -85,        345,          b-hadron~,         anti-b-hadron,                \bar{b}-hadron
         86,          0,        346,           t-hadron,              t-hadron,                      t-hadron
        -86,          0,        347,          t-hadron~,         anti-t-hadron,                \bar{t}-hadron
         87,          0,        348,          b'-hadron,             b'-hadron,               b^\prime-hadron
        -87,          0,        349,         b'-hadron~,        anti-b'-hadron,         \bar{b}^\prime-hadron
         88,         88,        350,           junction,              junction,                      junction
         90,         90,        351,             system,                system,                        system
         91,         91,        352,            cluster,               cluster,                       cluster
         92,         92,        353,             string,                string,                        string
         93,         93,        354,              indep,                 indep,                         indep
         94,         94,        355,           CMshower,              CMshower,                      CMshower
         95,         95,        356,           SPHEaxis,              SPHEaxis,                      SPHEaxis
         96,         96,        357,           THRUaxis,              THRUaxis,                      THRUaxis
         97,         97,        358,            CLUSjet,               CLUSjet,                       CLUSjet
         98,         98,        359,            CELLjet,               CELLjet,                       CELLjet
         99,         99,        360,              table,                 table,                         table
        111,        111,          7,                pi0,                   pi0,                       \pi^{0}
        113,        113,         33,          rho(770)0,                  rho0,                 \rho(770)^{0}
        115,        115,        136,        a(2)(1320)0,                  a_20,               a_{2}(1320)^{0}
        117,          0,        361,      rho(3)(1690)0,          rho_3(1690)0,            \rho_{3}(1690)^{0}
        119,          0,        362,        a(4)(1970)0,            a_4(1970)0,               a_{4}(1970)^{0}
        130,        130,         10,              K(L)0,                  K_L0,                     K_{L}^{0}
        150,          0,      99999,              B(L)0,                   B0L,                     B_{L}^{0}
        211,        211,          8,                pi+,                   pi+,                       \pi^{+}
       -211,       -211,          9,                pi-,                   pi-,                       \pi^{-}
        213,        213,         34,          rho(770)+,                  rho+,                 \rho(770)^{+}
       -213,       -213,         35,          rho(770)-,                  rho-,                 \rho(770)^{-}
        215,        215,        137,        a(2)(1320)+,                  a_2+,               a_{2}(1320)^{+}
       -215,       -215,        138,        a(2)(1320)-,                  a_2-,               a_{2}(1320)^{-}
        217,          0,        363,      rho(3)(1690)+,          rho_3(1690)+,            \rho_{3}(1690)^{+}
       -217,          0,        364,      rho(3)(1690)-,          rho_3(1690)-,            \rho_{3}(1690)^{-}
        219,          0,        365,        a(4)(1970)+,            a_4(1970)+,               a_{4}(1970)^{+}
       -219,          0,        366,        a(4)(1970)-,            a_4(1970)-,               a_{4}(1970)^{-}
