# (c) Scikit-HEP project - Particle package data file - particle2023.csv - version 13 - 2023-07-03
ID,Mass,MassUpper,MassLower,Width,WidthUpper,WidthLower,I,G,P,C,Anti,Charge,Rank,Status,Name,Quarks,Latex
1,4.67,0.5,0.2,-1,-1,-1,1/2,5,1,5,1,-1,0,0,d,d,d
-1,4.67,0.5,0.2,-1,-1,-1,1/2,5,1,5,1,1,0,0,d,D,\overline{d}
2,2.16,0.5,0.3,-1,-1,-1,1/2,5,1,5,1,2,0,0,u,u,u
-2,2.16,0.5,0.3,-1,-1,-1,1/2,5,1,5,1,-2,0,0,u,U,\overline{u}
3,93.4,8.6,3.4,-1,-1,-1,0,5,1,5,1,-1,0,0,s,s,s
-3,93.4,8.6,3.4,-1,-1,-1,0,5,1,5,1,1,0,0,s,S,\overline{s}
4,1270,20,20,-1,-1,-1,0,5,1,5,1,2,0,0,c,c,c
-4,1270,20,20,-1,-1,-1,0,5,1,5,1,-2,0,0,c,C,\overline{c}
5,4180,30,20,-1,-1,-1,0,5,1,5,1,-1,0,0,b,b,b
-5,4180,30,20,-1,-1,-1,0,5,1,5,1,1,0,0,b,B,\overline{b}
6,172500,700,700,1420,190,150,0,5,1,5,1,2,0,0,t,t,t
-6,172500,700,700,1420,190,150,0,5,1,5,1,-2,0,0,t,T,\overline{t}
11,0.51099895,1.5e-10,1.5e-10,0,0,0,,5,5,5,2,-3,0,0,e,,e^{-}
-11,0.51099895,1.5e-10,1.5e-10,0,0,0,,5,5,5,2,3,0,0,e,,e^{+}
12,-1,-1,-1,0,0,0,,5,5,5,1,0,0,1,nu(e),,\nu_{e}
-12,-1,-1,-1,0,0,0,,5,5,5,1,0,0,1,nu(e),,\overline{\nu}_{e}
13,105.6583755,2.3e-06,2.3e-06,2.9959836e-16,3e-22,3e-22,,5,5,5,2,-3,0,0,mu,,\mu^{-}
-13,105.6583755,2.3e-06,2.3e-06,2.9959836e-16,3e-22,3e-22,,5,5,5,2,3,0,0,mu,,\mu^{+}
14,-1,-1,-1,0,0,0,,5,5,5,1,0,0,1,nu(mu),,\nu_{\mu}
-14,-1,-1,-1,0,0,0,,5,5,5,1,0,0,1,nu(mu),,\overline{\nu}_{\mu}
15,1776.86,0.12,0.12,2.267e-09,4e-12,4e-12,,5,5,5,2,-3,0,0,tau,,\tau^{-}
-15,1776.86,0.12,0.12,2.267e-09,4e-12,4e-12,,5,5,5,2,3,0,0,tau,,\tau^{+}
16,-1,-1,-1,0,0,0,,5,5,5,1,0,0,1,nu(tau),,\nu_{\tau}
-16,-1,-1,-1,0,0,0,,5,5,5,1,0,0,1,nu(tau),,\overline{\nu}_{\tau}
17,-1,-1,-1,-1,-1,-1,,5,5,5,2,-3,0,4,tau',,\tau^{\prime -}
-17,-1,-1,-1,-1,-1,-1,,5,5,5,2,3,0,4,tau',,\tau^{\prime +}
18,-1,-1,-1,-1,-1,-1,,5,5,5,1,0,0,4,nu(tau'),,\nu_{\tau^\prime}
-18,-1,-1,-1,-1,-1,-1,,5,5,5,1,0,0,4,nu(tau'),,\overline{\nu}_{\tau^\prime}
21,0,0,0,0,0,0,,5,-1,5,0,0,0,0,g,,g
22,0,0,0,0,0,0,,5,-1,-1,0,0,0,0,gamma,,\gamma
23,91187.6,2.1,2.1,2495.5,2.3,2.3,,5,5,5,0,0,0,0,Z,,Z^{0}
24,80377,12,12,2080,40,40,,5,5,5,2,3,0,0,W,,W^{+}
-24,80377,12,12,2080,40,40,,5,5,5,2,-3,0,0,W,,W^{-}
25,125250,170,170,3.2,2.4,1.7,,5,5,5,0,0,0,0,H,,H^{0}
111,134.9768,0.0005,0.0005,7.81e-06,1.2e-07,1.2e-07,1,-1,-1,1,0,0,0,0,pi,(uU-dD)/sqrt(2),\pi^{0}
113,775.26,0.23,0.23,149.1,0.8,0.8,1,1,-1,-1,0,0,0,0,rho(770),(uU-dD)/sqrt(2),\rho(770)^{0}
115,1318.2,0.6,0.6,107,5,5,1,-1,1,1,0,0,0,0,a(2)(1320),(uU-dD)/sqrt(2),a_{2}(1320)^{0}
117,1688.8,2.1,2.1,161,10,10,1,1,-1,-1,0,0,0,0,rho(3)(1690),(uU-dD)/sqrt(2),\rho_{3}(1690)^{0}
119,1967,16,16,324,15,18,1,-1,1,1,0,0,0,0,a(4)(1970),(uU-dD)/sqrt(2),a_{4}(1970)^{0}
130,497.611,0.013,0.013,1.287e-14,5e-17,5e-17,1/2,5,-1,5,0,0,0,0,K(L),p(dS)-q(Ds),K_{L}^{0}
211,139.57039,0.00018,0.00018,2.5284e-14,5e-18,5e-18,1,-1,-1,5,2,3,0,0,pi,uD,\pi^{+}
-211,139.57039,0.00018,0.00018,2.5284e-14,5e-18,5e-18,1,-1,-1,5,2,-3,0,0,pi,Ud,\pi^{-}
213,775.26,0.23,0.23,149.1,0.8,0.8,1,1,-1,5,2,3,0,0,rho(770),uD,\rho(770)^{+}
-213,775.26,0.23,0.23,149.1,0.8,0.8,1,1,-1,5,2,-3,0,0,rho(770),Ud,\rho(770)^{-}
215,1318.2,0.6,0.6,107,5,5,1,-1,1,5,2,3,0,0,a(2)(1320),uD,a_{2}(1320)^{+}
-215,1318.2,0.6,0.6,107,5,5,1,-1,1,5,2,-3,0,0,a(2)(1320),Ud,a_{2}(1320)^{-}
217,1688.8,2.1,2.1,161,10,10,1,1,-1,5,2,3,0,0,rho(3)(1690),uD,\rho_{3}(1690)^{+}
-217,1688.8,2.1,2.1,161,10,10,1,1,-1,5,2,-3,0,0,rho(3)(1690),Ud,\rho_{3}(1690)^{-}
219,1967,16,16,324,15,18,1,-1,1,5,2,3,0,0,a(4)(1970),uD,a_{4}(1970)^{+}
-219,1967,16,16,324,15,18,1,-1,1,5,2,-3,0,0,a(4)(1970),Ud,a_{4}(1970)^{-}
221,547.862,0.017,0.017,0.00131,5e-05,5e-05,0,1,-1,1,0,0,0,0,eta,x(uU+dD)+y(sS),\eta
223,782.66,0.13,0.13,8.68,0.13,0.13,0,-1,-1,-1,0,0,0,0,omega(782),x(uU+dD)+y(sS),\omega(782)
225,1275.4,0.8,0.8,186.6,2.3,2.3,0,1,1,1,0,0,0,0,f(2)(1270),x(uU+dD)+y(sS),f_{2}(1270)
227,1667,4,4,168,10,10,0,-1,-1,-1,0,0,0,0,omega(3)(1670),x(uU+dD)+y(sS),\omega_{3}(1670)
229,2018,11,11,237,18,18,0,1,1,1,0,0,0,0,f(4)(2050),x(uU+dD)+y(sS),f_{4}(2050)
310,497.611,0.013,0.013,7.3508e-12,2.9e-15,2.9e-15,1/2,5,-1,5,0,0,0,0,K(S),p(dS)+q(Ds),K_{S}^{0}
311,497.611,0.013,0.013,-1,-1,-1,1/2,5,-1,5,1,0,0,0,K,dS,K^{0}
-311,497.611,0.013,0.013,-1,-1,-1,1/2,5,-1,5,1,0,0,0,K,Ds,\overline{K}^{0}
313,895.55,0.2,0.2,47.3,0.5,0.5,1/2,5,-1,5,1,0,0,0,K*(892),dS,K^{*}(892)^{0}
-313,895.55,0.2,0.2,47.3,0.5,0.5,1/2,5,-1,5,1,0,0,0,K*(892),Ds,\overline{K}^{*}(892)^{0}
315,1432.4,1.3,1.3,109,5,5,1/2,5,1,5,1,0,0,0,K(2)*(1430),dS,K_{2}^{*}(1430)^{0}
-315,1432.4,1.3,1.3,109,5,5,1/2,5,1,5,1,0,0,0,K(2)*(1430),Ds,\overline{K}_{2}^{*}(1430)^{0}
317,1779,8,8,161,17,17,1/2,5,-1,5,1,0,0,0,K(3)*(1780),dS,K_{3}^{*}(1780)^{0}
