# (c) Scikit-HEP project - Particle package data file - pdgid_to_latexname.csv - version 13 - 2023-07-03
PDGID,LATEXNAME
1,d
2,u
3,s
4,c
5,b
6,t
7,b^\prime
8,t^\prime
11,e^{-}
12,\nu_{e}
13,\mu^{-}
14,\nu_{\mu}
15,\tau^{-}
16,\nu_{\tau}
17,\tau^{\prime -}
18,\nu_{\tau^\prime}
21,g
22,\gamma
23,Z^{0}
24,W^{+}
25,H^{0}
32,Z^{\prime 0}
33,Z^{\prime\prime 0}
34,W^{\prime +}
35,H_{2}^{0}
36,H_{3}^{0}
37,H^{+}
38,H^{++}
39,G
40,H_{4}^{0}
41,R^{0}
42,LQ^{c}
43,X_{u}^{0}
44,X_{u}^{+}
81,specflav
82,rndmflav
83,phasespa
84,c-hadron
85,b-hadron
86,t-hadron
87,b^\prime-hadron
88,junction
90,system
91,cluster
92,string
93,indep
94,CMshower
95,SPHEaxis
96,THRUaxis
97,CLUSjet
98,CELLjet
111,\pi^{0}
113,\rho(770)^{0}
115,a_{2}(1320)^{0}
117,\rho_{3}(1690)^{0}
119,a_{4}(1970)^{0}
130,K_{L}^{0}
150,B_{L}^{0}
211,\pi^{+}
213,\rho(770)^{+}
215,a_{2}(1320)^{+}
217,\rho_{3}(1690)^{+}
219,a_{4}(1970)^{+}
221,\eta
223,\omega(782)
225,f_{2}(1270)
227,\omega_{3}(1670)
229,f_{4}(2050)
310,K_{S}^{0}
311,K^{0}
313,K^{*}(892)^{0}
315,K_{2}^{*}(1430)^{0}
317,K_{3}^{*}(1780)^{0}
319,K_{4}^{*}(2045)^{0}
321,K^{+}
323,K^{*}(892)^{+}
325,K_{2}^{*}(1430)^{+}
327,K_{3}^{*}(1780)^{+}
329,K_{4}^{*}(2045)^{+}
331,\eta^\prime(958)
333,\phi(1020)
335,f_{2}^\prime(1525)
337,\phi_{3}(1850)
350,B_{sL}^{0}
411,D^{+}
413,D^{*}(2010)^{+}
415,D_{2}^{*}(2460)^{+}
421,D^{0}
423,D^{*}(2007)^{0}
425,D_{2}^{*}(2460)^{0}
431,D_{s}^{+}
433,D_{s}^{*+}
435,D_{s2}^{*}(2573)^{+}
441,\eta_{c}(1S)
443,J/\psi(1S)
