# (c) Scikit-HEP project - Particle package data file - pdgid_to_pythiaid.csv - version 13 - 2023-07-03
PDGID,PYTHIAID
1,1
-1,-1
2,2
-2,-2
3,3
-3,-3
4,4
-4,-4
5,5
-5,-5
6,6
-6,-6
7,7
-7,-7
8,8
-8,-8
11,11
-11,-11
12,12
-12,-12
13,13
-13,-13
14,14
-14,-14
15,15
-15,-15
16,16
-16,-16
17,17
-17,-17
18,18
-18,-18
21,21
22,22
23,23
24,24
-24,-24
25,25
32,32
33,33
34,34
-34,-34
35,35
36,36
37,37
-37,-37
38,38
-38,-38
39,39
40,40
41,41
-41,-41
42,42
-42,-42
43,43
44,44
-44,-44
81,81
82,82
-82,-82
83,83
84,84
-84,-84
85,85
-85,-85
88,88
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
111,111
113,113
115,115
130,130
211,211
-211,-211
213,213
-213,-213
215,215
-215,-215
221,221
223,223
225,225
310,310
311,311
-311,-311
313,313
-313,-313
315,315
-315,-315
321,321
-321,-321
323,323
-323,-323
325,325
-325,-325
331,331
333,333
335,335
411,411
-411,-411
413,413
-413,-413
415,415
-415,-415
421,421
-421,-421
423,423
-423,-423
425,425
-425,-425
431,431
-431,-431
433,433
-433,-433
435,435
-435,-435
441,441
443,443
445,445
511,511
-511,-511
513,513
-513,-513
515,515
-515,-515
521,521
-521,-521
523,523
-523,-523
525,525
-525,-525
531,531
-531,-531
533,533
-533,-533
535,535
-535,-535
541,541
-541,-541
543,543
-543,-543
545,545
-545,-545
551,551
553,553
555,555
557,557
1103,1103
-1103,-1103
1114,1114
-1114,-1114
2101,2101
-2101,-2101
2103,2103
-2103,-2103
2112,2112
-2112,-2112
2114,2114
-2114,-2114
2203,2203
-2203,-2203
2212,2212
-2212,-2212
2214,2214
-2214,-2214
2224,2224
-2224,-2224
3101,3101
-3101,-3101
3103,3103
-3103,-3103
3112,3112
-3112,-3112
3114,3114
-3114,-3114
3122,3122
-3122,-3122
3201,3201
-3201,-3201
3203,3203
-3203,-3203
3212,3212
-3212,-3212
3214,3214
-3214,-3214
3222,3222
-3222,-3222
3224,3224
-3224,-3224
3303,3303
-3303,-3303
3312,3312
-3312,-3312
3314,3314
-3314,-3314
3322,3322
-3322,-3322
3324,3324
-3324,-3324
3334,3334
-3334,-3334
4101,4101
-4101,-4101
4103,4103
-4103,-4103
4112,4112
-4112,-4112
4114,4114
-4114,-4114
4122,4122
-4122,-4122
4132,4132
-4132,-4132
4201,4201
-4201,-4201
4203,4203
-4203,-4203
4212,4212
-4212,-4212
4214,4214
-4214,-4214
4222,4222
-4222,-4222
4224,4224
-4224,-4224
4232,4232
-4232,-4232
4301,4301
-4301,-4301
4303,4303
-4303,-4303
4312,4312
-4312,-4312
4314,4314
-4314,-4314
4322,4322
-4322,-4322
4324,4324
-4324,-4324
4332,4332
-4332,-4332
4334,4334
-4334,-4334
4403,4403
-4403,-4403
4412,4412
-4412,-4412
4414,4414
-4414,-4414
4422,4422
-4422,-4422
4424,4424
-4424,-4424
4432,4432
-4432,-4432
4434,4434
-4434,-4434
4444,4444
-4444,-4444
5101,5101
-5101,-5101
5103,5103
