# (c) Scikit-HEP project - Particle package data file - pdgid_to_lhcbname.csv - 2021-11-11
PDGID,STR
1,d
-1,anti-d
2,u
-2,anti-u
3,s
-3,anti-s
4,c
-4,anti-c
5,b
-5,anti-b
6,t
-6,anti-t
7,b'
-7,anti-b'
8,t'
-8,anti-t'
11,e-
-11,e+
12,nu_e
-12,nu_e~
13,mu-
-13,mu+
14,nu_mu
-14,nu_mu~
15,tau-
-15,tau+
16,nu_tau
-16,nu_tau~
17,L-
-17,L+
18,nu_L
-18,anti-nu_L
21,g
22,gamma
23,Z0
24,W+
-24,W-
25,H_10
32,Z'0
33,Z''0
34,W'+
-34,W'-
35,H_20
36,H_30
37,H+
-37,H-
39,Graviton
41,R0
-41,anti-R0
42,LQ_ue
-42,LQ_uebar
43,Xu0
44,Xu+
-44,Xu-
81,specflav
82,rndmflav
-82,anti-rndmflav
83,phasespa
84,c-hadron
-84,anti-c-hadron
85,b-hadron
-85,anti-b-hadron
86,t-hadron
-86,anti-t-hadron
87,b'-hadron
-87,anti-b'-hadron
88,junction
90,system
91,cluster
92,string
93,indep
94,CMshower
95,SPHEaxis
96,THRUaxis
97,CLUSjet
98,CELLjet
99,table
111,pi0
113,rho(770)0
115,a_2(1320)0
117,rho_3(1690)0
119,a_4(2040)0
130,KL0
150,B0L
211,pi+
-211,pi-
213,rho(770)+
-213,rho(770)-
215,a_2(1320)+
-215,a_2(1320)-
217,rho_3(1690)+
-217,rho_3(1690)-
219,a_4(2040)+
-219,a_4(2040)-
221,eta
223,omega(782)
225,f_2(1270)
227,omega_3(1670)
229,f_4(2050)
310,KS0
311,K0
-311,K~0
313,K*(892)0
-313,K*(892)~0
315,K*_2(1430)0
-315,K*_2(1430)~0
317,K*_3(1780)0
-317,K*_3(1780)~0
319,K*_4(2045)0
-319,K*_4(2045)~0
321,K+
-321,K-
323,K*(892)+
-323,K*(892)-
325,K*_2(1430)+
-325,K*_2(1430)-
327,K*_3(1780)+
-327,K*_3(1780)-
329,K*_4(2045)+
-329,K*_4(2045)-
331,eta_prime
333,phi(1020)
335,f'_2(1525)
337,phi_3(1850)
350,B_s0L
411,D+
-411,D-
413,D*(2010)+
-413,D*(2010)-
415,D*_2(2460)+
-415,D*_2(2460)-
421,D0
-421,D~0
423,D*(2007)0
-423,D*(2007)~0
425,D*_2(2460)0
-425,D*_2(2460)~0
431,D_s+
-431,D_s-
433,D*_s+
-433,D*_s-
435,D*_s2+
-435,D*_s2-
441,eta_c(1S)
443,J/psi(1S)
445,chi_c2(1P)
510,B0H
511,B0
-511,B~0
513,B*0
-513,B*~0
515,B*_20
-515,B*_2~0
521,B+
-521,B-
523,B*+
-523,B*-
525,B*_2+
-525,B*_2-
530,B_s0H
531,B_s0
-531,B_s~0
533,B*_s0
-533,B*_s~0
535,B*_s20
-535,B*_s2~0
541,B_c+
-541,B_c-
543,B_c*+
-543,B_c*-
545,B_c2*+
-545,B_c2*-
551,eta_b(1S)
553,Upsilon(1S)
555,chi_b2(1P)
557,Upsilon_3(1D)
1103,dd_1
-1103,anti-dd_1
1112,Delta(1620)-
-1112,Delta(1620)~+
1114,Delta-
-1114,Delta~+
1116,Delta(1905)-
-1116,Delta(1905)~+
1118,Delta(1950)-
-1118,Delta(1950)~+
1212,Delta(1620)0
-1212,Delta(1620)~0
1214,N(1520)0
-1214,N(1520)~0
1216,Delta(1905)0
-1216,Delta(1905)~0
1218,N(2190)0
-1218,N(2190)~0
2101,ud_0
-2101,anti-ud_0
2103,ud_1
-2103,anti-ud_1
2112,n0
-2112,n~0
2114,Delta0
-2114,Delta~0
2116,N(1675)0
-2116,N(1675)~0
2118,Delta(1950)0
-2118,Delta(1950)~0
2122,Delta(1620)+
-2122,Delta(1620)~-
2124,N(1520)+
-2124,N(1520)~-
2126,Delta(1905)+
-2126,Delta(1905)~-
2128,N(2190)+
-2128,N(2190)~-
2203,uu_1
-2203,anti-uu_1
2212,p+
-2212,p~-
2214,Delta+
-2214,Delta~-
2216,N(1675)+
-2216,N(1675)~-
2218,Delta(1950)+
-2218,Delta(1950)~-
2222,Delta(1620)++
-2222,Delta(1620)~--
2224,Delta++
-2224,Delta~--
2226,Delta(1905)++
-2226,Delta(1905)~--
2228,Delta(1950)++
-2228,Delta(1950)~--
3101,sd_0
-3101,anti-sd_0
3103,sd_1
-3103,anti-sd_1
3112,Sigma-
-3112,Sigma~+
3114,Sigma*-
-3114,Sigma*~+
3116,Sigma(1775)-
-3116,Sigma(1775)~+
3118,Sigma(2030)-
-3118,Sigma(2030)~+
3122,Lambda0
-3122,Lambda~0
3124,Lambda(1520)0
-3124,Lambda(1520)~0
3126,Lambda(1820)0
-3126,Lambda(1820)~0
3128,Lambda(2100)0
-3128,Lambda(2100)~0
3201,su_0
-3201,anti-su_0
3203,su_1
-3203,anti-su_1
3212,Sigma0
-3212,Sigma~0
3214,Sigma*0
-3214,Sigma*~0
3216,Sigma(1775)0
-3216,Sigma(1775)~0
3218,Sigma(2030)0
-3218,Sigma(2030)~0
3222,Sigma+
-3222,Sigma~-
3224,Sigma*+
-3224,Sigma*~-
3226,Sigma(1775)+
-3226,Sigma(1775)~-
3228,Sigma(2030)+
-3228,Sigma(2030)~-
3303,ss_1
-3303,anti-ss_1
3312,Xi-
-3312,Xi~+
3314,Xi*-
-3314,Xi*~+
3322,Xi0
-3322,Xi~0
3324,Xi*0
-3324,Xi*~0
3334,Omega-
-3334,Omega~+
4101,cd_0
-4101,anti-cd_0
4103,cd_1
-4103,anti-cd_1
4112,Sigma_c0
-4112,Sigma_c~0
4114,Sigma_c*0
-4114,Sigma_c*~0
4122,Lambda_c+
-4122,Lambda_c~-
4132,Xi_c0
-4132,Xi_c~0
4201,cu_0
-4201,anti-cu_0
4203,cu_1
-4203,anti-cu_1
4212,Sigma_c+
-4212,Sigma_c~-
4214,Sigma_c*+
-4214,Sigma_c*~-
4222,Sigma_c++
-4222,Sigma_c~--
4224,Sigma_c*++
-4224,Sigma_c*~--
4232,Xi_c+
-4232,Xi_c~-
4301,cs_0
-4301,anti-cs_0
4303,cs_1
-4303,anti-cs_1
4312,Xi'_c0
-4312,Xi'_c~0
4314,Xi_c*0
-4314,Xi_c*~0
4322,Xi'_c+
-4322,Xi'_c~-
4324,Xi_c*+
-4324,Xi_c*~-
4332,Omega_c0
-4332,Omega_c~0
4334,Omega_c*0
-4334,Omega_c*~0
4403,cc_1
-4403,anti-cc_1
4412,Xi_cc+
-4412,Xi_cc~-
4414,Xi*_cc+
-4414,Xi*_cc~-
4422,Xi_cc++
-4422,Xi_cc~--
4424,Xi*_cc++
-4424,Xi*_cc~--
4432,Omega_cc+
-4432,Omega_cc~-
4434,Omega*_cc+
-4434,Omega*_cc~-
4444,Omega*_ccc++
-4444,Omega*_ccc~--
5101,bd_0
-5101,anti-bd_0
5103,bd_1
-5103,anti-bd_1
5112,Sigma_b-
-5112,Sigma_b~+
5114,Sigma_b*-
-5114,Sigma_b*~+
5122,Lambda_b0
-5122,Lambda_b~0
5124,Lambda_b(5920)0
-5124,Lambda_b(5920)~0
5132,Xi_b-
-5132,Xi_b~+
5142,Xi_bc0
-5142,Xi_bc~0
5201,bu_0
-5201,anti-bu_0
5203,bu_1
-5203,anti-bu_1
5212,Sigma_b0
-5212,Sigma_b~0
5214,Sigma_b*0
-5214,Sigma_b*~0
5222,Sigma_b+
-5222,Sigma_b~-
5224,Sigma_b*+
-5224,Sigma_b*~-
5232,Xi_b0
-5232,Xi_b~0
5242,Xi_bc+
-5242,Xi_bc~-
5301,bs_0
-5301,anti-bs_0
5303,bs_1
-5303,anti-bs_1
5312,Xi'_b-
-5312,Xi'_b~+
5314,Xi_b*-
-5314,Xi_b*~+
5322,Xi'_b0
-5322,Xi'_b~0
5324,Xi_b*0
-5324,Xi_b*~0
5332,Omega_b-
-5332,Omega_b~+
5334,Omega_b*-
-5334,Omega_b*~+
5342,Omega_bc0
-5342,Omega_bc~0
5401,bc_0
-5401,anti-bc_0
5403,bc_1
-5403,anti-bc_1
5412,Xi'_bc0
-5412,Xi'_bc~0
5414,Xi*_bc0
-5414,Xi*_bc~0
5422,Xi'_bc+
-5422,Xi'_bc~-
5424,Xi*_bc+
-5424,Xi*_bc~-
5432,Omega'_bc0
-5432,Omega'_bc~0
5434,Omega*_bc0
-5434,Omega*_bc~0
5442,Omega_bcc+
-5442,Omega_bcc~-
5444,Omega*_bcc+
-5444,Omega*_bcc~-
5503,bb_1
-5503,anti-bb_1
5512,Xi_bb-
-5512,Xi_bb~+
5514,Xi*_bb-
-5514,Xi*_bb~+
5522,Xi_bb0
-5522,Xi_bb~0
5524,Xi*_bb0
-5524,Xi*_bb~0
5532,Omega_bb-
-5532,Omega_bb~+
5534,Omega*_bb-
-5534,Omega*_bb~+
5542,Omega_bbc0
-5542,Omega_bbc~0
5544,Omega*_bbc0
-5544,Omega*_bbc~0
5554,Omega*_bbb-
-5554,Omega*_bbb~+
10022,vpho
10111,a_0(1450)0
10113,b_1(1235)0
10115,pi_2(1670)0
10211,a_0(1450)+
-10211,a_0(1450)-
10213,b_1(1235)+
-10213,b_1(1235)-
10215,pi_2(1670)+
-10215,pi_2(1670)-
10221,f_0(1370)
10223,h_1(1170)
10225,eta_2(1645)
10311,K*_0(1430)0
-10311,K*_0(1430)~0
10313,K_1(1270)0
-10313,K_1(1270)~0
10315,K_2(1770)0
-10315,K_2(1770)~0
10321,K*_0(1430)+
-10321,K*_0(1430)-
10323,K_1(1270)+
-10323,K_1(1270)-
10325,K_2(1770)+
-10325,K_2(1770)-
10331,f_0(1710)
10333,h_1(1380)
10335,eta_2(1870)
10411,D*_0+
-10411,D*_0-
10413,D_1(2420)+
-10413,D_1(2420)-
10421,D*_00
-10421,D*_0~0
10423,D_1(2420)0
-10423,D_1(2420)~0
10431,D*_s0+
-10431,D*_s0-
10433,D_s1(2536)+
-10433,D_s1(2536)-
10441,chi_c0(1P)
10443,h_c(1P)
10511,B*_00
-10511,B*_0~0
10513,B_1(L)0
-10513,B_1(L)~0
10521,B*_0+
-10521,B*_0-
10523,B_1(L)+
-10523,B_1(L)-
10531,B*_s00
-10531,B*_s0~0
10533,B_s1(L)0
-10533,B_s1(L)~0
10541,B_c0*+
-10541,B_c0*-
10543,B_c1(L)+
-10543,B_c1(L)-
10551,chi_b0(1P)
10553,h_b(1P)
10555,eta_b2(1D)
11112,Delta(1900)-
-11112,Delta(1900)~+
11114,Delta(1700)-
-11114,Delta(1700)~+
11116,Delta(1930)-
-11116,Delta(1930)~+
11212,Delta(1900)0
-11212,Delta(1900)~0
11216,Delta(1930)0
-11216,Delta(1930)~0
12112,N(1440)0
-12112,N(1440)~0
12114,Delta(1700)0
-12114,Delta(1700)~0
12116,N(1680)0
-12116,N(1680)~0
12118,N(1990)0
-12118,N(1990)~0
12122,Delta(1900)+
-12122,Delta(1900)~-
12126,Delta(1930)+
-12126,Delta(1930)~-
12212,N(1440)+
-12212,N(1440)~-
12214,Delta(1700)+
-12214,Delta(1700)~-
12216,N(1680)+
-12216,N(1680)~-
12218,N(1990)+
-12218,N(1990)~-
12222,Delta(1900)++
-12222,Delta(1900)~--
12224,Delta(1700)++
-12224,Delta(1700)~--
12226,Delta(1930)++
-12226,Delta(1930)~--
13112,Sigma(1660)-
-13112,Sigma(1660)~+
13114,Sigma(1670)-
-13114,Sigma(1670)~+
13116,Sigma(1915)-
-13116,Sigma(1915)~+
13122,Lambda(1405)0
-13122,Lambda(1405)~0
13124,Lambda(1690)0
-13124,Lambda(1690)~0
13126,Lambda(1830)0
-13126,Lambda(1830)~0
13212,Sigma(1660)0
-13212,Sigma(1660)~0
13214,Sigma(1670)0
-13214,Sigma(1670)~0
13216,Sigma(1915)0
-13216,Sigma(1915)~0
13222,Sigma(1660)+
-13222,Sigma(1660)~-
13224,Sigma(1670)+
-13224,Sigma(1670)~-
13226,Sigma(1915)+
-13226,Sigma(1915)~-
13314,Xi(1820)-
-13314,Xi(1820)~+
13324,Xi(1820)0
-13324,Xi(1820)~0
14122,Lambda_c(2595)+
-14122,Lambda_c(2595)~-
15122,Lambda_b(5912)0
-15122,Lambda_b(5912)~0
20022,opticalphoton
20113,a_1(1260)0
20213,a_1(1260)+
-20213,a_1(1260)-
20223,f_1(1285)
20313,K_1(1400)0
-20313,K_1(1400)~0
20315,K_2(1820)0
-20315,K_2(1820)~0
20323,K_1(1400)+
-20323,K_1(1400)-
20325,K_2(1820)+
-20325,K_2(1820)-
20333,f_1(1420)
20413,D_1(H)+
-20413,D_1(H)-
20423,D_1(H)0
-20423,D_1(H)~0
20433,D_s1(2460)+
-20433,D_s1(2460)-
20443,chi_c1(1P)
20513,B_1(H)0
-20513,B_1(H)~0
20523,B_1(H)+
-20523,B_1(H)-
20533,B_s1(H)0
-20533,B_s1(H)~0
20543,B_c1(H)+
-20543,B_c1(H)-
20553,chi_b1(1P)
20555,Upsilon_2(1D)
21112,Delta(1910)-
-21112,Delta(1910)~+
21114,Delta(1920)-
-21114,Delta(1920)~+
21212,Delta(1910)0
-21212,Delta(1910)~0
21214,N(1700)0
-21214,N(1700)~0
22112,N(1535)0
-22112,N(1535)~0
22114,Delta(1920)0
-22114,Delta(1920)~0
22122,Delta(1910)+
-22122,Delta(1910)~-
22124,N(1700)+
-22124,N(1700)~-
22212,N(1535)+
-22212,N(1535)~-
22214,Delta(1920)+
-22214,Delta(1920)~-
