# (c) Scikit-HEP project - Particle package data file - pdgid_to_rapidsimname.csv - 2026-04-24
# Auto generated by 'admin/dump_pdgid_to_rapidsimname.py
PDGID,STR
11,e-
-11,e+
12,nue
-12,anti-nue
13,mu-
-13,mu+
14,numu
-14,anti-numu
15,tau-
-15,tau+
16,nutau
-16,anti-nutau
22,gamma
111,pi0
113,rho0
130,KL
211,pi+
-211,pi-
213,rho+
-213,rho-
221,eta
223,omega
310,KS
311,K0
-311,K0b
313,K*0
-313,K*0b
315,K2*(1430)0
-315,K2*(1430)0b
321,K+
-321,K-
323,K*+
-323,K*-
325,K2*(1430)+
-325,K2*(1430)-
331,eta'
333,phi
380,f'_2(1525)
411,D+
-411,D-
413,D*+
-413,D*-
415,D2*(2460)+
-415,D2*(2460)-
421,D0
-421,D0b
423,D*0
-423,D*0b
425,D2*(2460)0
-425,D2*(2460)0b
431,Ds+
-431,Ds-
433,Ds*+
-433,Ds*-
435,Ds2*(2573)+
-435,Ds2*(2573)-
441,etac
443,Jpsi
445,chic2
511,B0
-511,B0b
513,B*0
-513,B*0b
521,B+
-521,B-
523,B*+
-523,B*-
531,Bs0
-531,Bs0b
533,Bs*0
-533,Bs*0b
541,Bc+
-541,Bc-
551,etab
553,Upsilon1S
2112,n0
-2112,n0b
2212,p+
-2212,p-
3112,Sigma-
3122,Lambda0
-3122,Lambda0b
3126,Lambda(1820)
-3126,Lambda(1820)b
3128,Lambda(2100)
-3128,Lambda(2100)b
3212,Sigma0
-3212,Sigma0b
3222,Sigma+
3312,Xi-
-3312,Xi+
3322,Xi0
-3322,Xi0b
3334,Omega-
-3334,Omega+
4112,Sigmac0
-4112,Sigmac0b
4122,Lambdac+
-4122,Lambdac-
4132,Xic0
-4132,Xic0b
4212,Sigmac+
-4212,Sigmac-
4222,Sigmac++
-4222,Sigmac--
4232,Xic+
-4232,Xic-
4332,Omegac0
-4332,Omegac0b
5112,Sigmab-
5122,Lambdab0
-5122,Lambdab0b
5132,Xib-
-5132,Xib+
5222,Sigmab+
5232,Xib0
-5232,Xib0b
5332,Omegab-
-5332,Omegab+
10311,K0*(1430)0
-10311,K0*(1430)0b
10313,K1(1270)0
-10313,K1(1270)0b
10321,K0*(1430)+
-10321,K0*(1430)-
10323,K1(1270)+
-10323,K1(1270)-
10411,D0*(2400)+
-10411,D0*(2400)-
10413,D1(2420)+
-10413,D1(2420)-
10421,D0*(2400)0
-10421,D0*(2400)0b
10423,D1(2420)0
-10423,D1(2420)0b
10431,Ds0*(2317)+
-10431,Ds0*(2317)-
10433,Ds1(2536)+
-10433,Ds1(2536)-
10441,chic0
10443,hc
10533,Bs10
-10533,Bs10b
10551,chib0
13122,Lambda(1405)
-13122,Lambda(1405)b
13124,Lambda(1690)
-13124,Lambda(1690)b
13126,Lambda(1830)
-13126,Lambda(1830)b
20313,K1(1400)0
-20313,K1(1400)0b
20323,K1(1400)+
-20323,K1(1400)-
20413,D1(2430)+
-20413,D1(2430)-
20423,D1(2430)0
-20423,D1(2430)0b
20433,Ds1(2460)+
-20433,Ds1(2460)-
20443,chic1
20551,chib1
23122,Lambda(1600)
-23122,Lambda(1600)b
23124,Lambda(1890)
-23124,Lambda(1890)b
30551,chib2
31220,Lambda(1520)
-31220,Lambda(1520)b
33122,Lambda(1670)
-33122,Lambda(1670)b
43122,Lambda(1800)
-43122,Lambda(1800)b
53122,Lambda(1810)
-53122,Lambda(1810)b
100313,K*(1410)0
-100313,K*(1410)0b
100323,K*(1410)+
-100323,K*(1410)-
100443,psi2S
100553,Upsilon2S
200553,Upsilon3S
300553,Upsilon4S
